CMUN,POP21
48094,4314
48049,754
48910,3696
48050,240
48022,2759
48907,439
48051,261
48052,2081
48053,1237
48054,32188
48057,7271
48055,3489
48056,1297
48081,2454
48903,2363
48058,1172
48059,521
48060,5072
48061,992
48062,379
48063,422
48064,753
48066,408
48068,1862
48069,17701
48007,484
48908,323
48071,7438
48067,1475
48909,267
48073,8326
48075,2658
48083,8379
48072,1359
48077,4414
48078,45285
48082,46085
48084,27342
48904,4555
48085,14276
48086,2638
48076,347
48087,502
48088,162
48065,4114
48089,5034
48074,4199
48080,11911
48095,3038
48096,8416
48905,3277
48097,1647
48024,1248
48025,1088
48913,1516
48915,411
09001,29
09003,197
09006,56
09007,52
09009,221
09010,33
09011,73
09907,2163
09012,105
09013,47
09014,191
09016,116
09017,158
09018,33084
09019,158
09020,288
09021,47
09022,71
09023,1816
09024,176
09025,118
09026,419
09027,46
09029,182
09030,131
09032,103
09033,80
09034,321
09035,322
09036,31
09037,112
09038,144
09039,65
09041,32
09043,186
09044,51
09045,292
09046,21
09047,57
09048,1754
09050,54
09051,180
09052,27
09054,100
09055,51
09056,6465
09057,196
09058,605
09059,174051
09060,138
09061,166
09062,40
09064,419
09065,169
09066,56
09067,436
09068,25
09070,30
09071,45
09072,448
09073,1414
09074,1175
09075,109
09076,25
09077,29
09078,32
09079,49
09083,25
09082,33
09084,173
09085,648
09088,57
09086,814
09090,49
09091,758
09063,248
09093,190
09094,54
09095,102
09098,532
09100,52
09101,78
09102,35
09103,218
09104,41
09105,104
09108,592
09109,1416
09110,81
09112,105
09113,539
09114,102
09115,105
09117,106
09119,42
09120,43
09122,90
09124,1674
09123,46
09125,604
09127,50
09128,97
09129,94
09130,69
09131,695
09132,178
09133,46
09134,270
09135,40
09136,223
09137,257
09138,106
09139,99
09140,150
09141,770
09143,30
09144,44
09148,111
09149,65
09151,556
09152,374
09154,151
09155,28
09159,72
09160,91
09162,153
09164,169
09163,644
09166,98
09167,56
09168,312
09169,100
09170,226
09172,164
09173,128
09174,908
09175,123
09176,57
09177,1438
09178,37
09179,43
09180,146
09181,291
09182,82
09183,42
09184,10
09189,123
09190,87
09191,31
09192,62
09194,2609
09195,53
09196,155
09197,179
09198,111
09199,104
09200,46
09201,27
09202,22
09206,59
09208,196
09209,5834
09211,1553
09213,284
09214,730
09906,1436
09215,409
09216,431
09217,386
09218,438
09219,35528
09220,85
09221,768
09223,40
09224,164
09225,83
09226,58
09227,152
09228,163
09229,206
09230,31
09231,51
09232,144
09235,190
09236,36
09238,1008
09239,48
09241,355
09242,75
09243,86
09244,45
09246,702
