CMUN,POPULATION_2020,POPULATION_DENSITY_KM2_2020,AGE_AVERAGE_2020,AGE_PERC_POP_BELOW_18_2020,AGE_PERC_POP_ABOVE_65_2020,HOUSING_AVERAGE_HOUSEHOLD_SIZE_2020,HOUSING_PERC_SINGLEPERSON_HOUSEHOLD_2020,NATIONALITY_PERC_SPANISH_2020,NATIONALITY_PERC_NONSPANISH_2020
03095,7064,679.6622311310542,42.2,17.6,17.9,2.66,24.6,83.7,16.299999999999997
03096,7547,156.17796451500735,43.3,17.3,19.5,2.43,29,92,8
03097,2216,125.22829032903934,51,13.2,34.4,2.27,31.1,56.5,43.5
03098,788,32.804141035285376,45.6,14.9,21.5,2.2,36.3,83.2,16.799999999999997
03099,78399,214.83854516168321,44.7,16.6,23,2.46,29.3,66.6,33.400000000000006
03100,986,83.92774299384871,50.9,10.6,32.6,2.2,35,58.8,41.2
03101,7903,267.6497971663473,44.8,16.1,21.9,2.4,30.5,75.6,24.400000000000006
03102,10199,193.3605500688208,46.7,14.8,25.7,2.4,29.2,83.7,16.299999999999997
03103,279,5.599603785580294,51.3,9.7,30.8,2.04,44.5,92,8
03104,33965,326.2489618288465,42.1,18.4,16.6,2.58,23,97.2,2.799999999999997
03105,8132,64.40746673303448,43.4,17.5,19,2.53,27.1,83,17
03106,694,17.889737745351425,52.7,9.4,34.6,2.16,38.8,87.7,12.299999999999997
03107,5043,223.94209344554744,41.5,19.3,15.2,2.41,31.1,71.5,28.5
03109,4496,2877.6051022051456,39.2,21.3,13.8,2.87,24.6,82.8,17.200000000000003
03110,657,134.95391196879234,48.7,12.5,29.5,2.35,29,60,40
03111,7756,822.0612930232766,39.4,20.5,14,2.77,24.1,86.4,13.599999999999994
03112,1143,14.913922066634669,51.6,10.1,31.9,2.19,34.4,63.9,36.1
03113,16148,583.0793657818757,52.1,11.1,37.3,2.24,30,33.4,66.6
03114,2529,58.50531610541126,47.7,14.3,27.8,2.4,28.3,75.8,24.200000000000003
03115,429,76.49182577797623,52,11.9,35.9,2.32,27,66.3,33.7
03116,1642,26.652330660186877,45,16.4,21.1,2.42,27.7,84.6,15.400000000000006
03117,688,174.87680643045505,51.8,11.8,34.6,2.27,31,66.8,33.2
03118,8201,396.6716150117813,53.8,10,40.1,2.06,34.5,35.7,64.3
03119,23684,2477.2074268121505,41.8,18.9,17.2,2.61,26.6,88,12
03120,6509,118.8104385741519,47.7,15.1,28.6,2.37,28.2,45.9,54.1
03121,34021,585.0972395991303,42.6,17.6,18,2.36,34.4,81.5,18.5
03122,58299,1439.999874610039,40.5,19.4,15.1,2.73,22.7,93.1,6.900000000000006
03123,9934,156.7442973147916,42.5,17.8,18.5,2.49,28,93.6,6.400000000000006
