CMUN,INCOME_PERC_UNEMPLOYMENT_BENEFITS_OF_AVERAGE_SALARY_2020
06098,25.753052917232022
06099,31.306740027510315
06100,19.06344410876133
06101,20.0265604249668
06102,16.513982642237224
06103,13.118853142190364
06104,25.2211271165024
06105,22.416812609457093
06106,33.43444556791372
06107,27.884074282498595
06108,12.023101155057752
06109,15.016233766233766
06110,32.608695652173914
06111,23.570536828963796
06112,23.890302516256714
06113,15.915585843042427
06114,40.517626059794736
06115,16.189315458054033
06116,18.110579016107966
06117,18.973905351614327
06118,10.459899046550756
06119,16.092603049124786
06120,17.005649717514125
06121,18.088899453292132
06122,11.760808348517475
06123,11.659436008676789
06124,18.89174655132102
06125,12.56771397616468
06126,25.373532550693707
06127,11.248908296943231
06128,12.940976933514248
06129,21.17834394904459
06130,9.712230215827338
06131,18.049490538573508
06132,19.721529509559435
06133,19.848293299620735
06134,26.017699115044245
06135,10.163310607261772
06136,19.10221531286436
06137,12.8099173553719
06138,23.63263445761167
06139,19.58041958041958
06140,24.664942393604512
06141,18.42260153031195
06142,15.583913379737046
06143,17.842085090072825
06144,23.093220338983052
06145,19.239419341647928
06146,24.03420819817163
06147,20.86578103527256
06148,15.059347181008903
06149,11.311053984575835
06150,21.556329849012776
06151,18.0646524403127
06152,16.630244755244757
06153,9.926583052921382
06154,22.075910147172735
06155,15.614419438358892
06156,12.832418742085268
06157,18.339818417639428
06158,8.822737068965516
06159,31.36111111111111
06160,17.356764564275398
06161,16.243529701750063
06162,17.416715371127996
06901,17.119198921625266
06902,12.356820548420687
06903,16.793002915451897
07001,9.09188034188034
07002,14.28744400048432
07003,33.41608738828202
07004,10.126582278481013
07005,22.919280635717275
07006,19.76323119777159
07007,14.194649971542402
07008,11.532125205930807
07009,12.601762016281922
07010,8.012960854715825
07011,23.738150140917245
07012,9.835120488873516
07013,14.246265846617295
07014,37.07308116048476
07015,17.666666666666668
07016,11.100529100529101
07017,11.717022844509948
07018,22.375816497037825
07019,9.690855238800445
07020,7.268889826931195
07021,15.137371380078498
07022,18.767589986668643
07023,16.80174186524737
07024,15.942513368983956
07025,15.766596417281347
07026,16.05271686291455
07027,16.35588705380927
07028,9.768786127167632
07029,15.183039241506451
07030,11.08256452177975
07031,17.088321662525413
07032,11.578831068390233
07033,21.32016036655212
07034,9.413447782546495
07035,9.86442262739598
07036,9.234594210619782
07037,12.278121015985095
07038,8.664879356568363
07039,22.251195132551064
07040,12.637481130040976
07041,9.002689114930435
07042,24.85092426952892
07043,9.993891264508246
07044,17.68916155419223
07045,7.900342687783643
07046,24.878320122375193
07047,10.399137001078747
07048,18.4837379752634
07049,9.382716049382717
07050,18.949488689185003
07051,35.65248101712873
07052,10.460532641092204
07053,8.003292783316565
07054,19.13643331630046
07055,32.58553905745642
07056,8.878323306811566
07057,31.951499262657705
07058,9.779179810725552
07059,22.03166226912929
07060,9.654004355189935
07061,20.26809651474531
07062,40.20310633213859
07063,10.909625563614977
07064,12.9266116439884
07065,11.829436038514443
07901,10.692934782608695
07902,19.60552734144325
08001,6.886126973463218
08002,4.386538147361542
08003,4.292720208903892
08004,5.046046122231525
08005,4.6736814924795045
08006,7.963699398388906
08007,7.485836351815733
08008,9.068219633943428
08009,6.367862468204544
08010,6.9709938183547315
08011,5.404892850369809
08012,6.211782975832282
08013,6.7165611207061975
08014,5.920324603467355
08015,8.591254543451923
08016,7.259226421367616
08017,6.829870397037646
08018,7.241792998145927
08019,6.484808885984972
08020,5.011796212459351
08021,
08022,7.359458829017962
08023,6.657140455577036
08024,10.266336327036234
08025,6.396063960639606
08026,4.648718570620098
08027,4.08753709198813
08028,9.966431299918971
08029,4.8564659977703455
08030,4.362687216456404
08031,8.055853920515576
08032,6.9152485819152485
08033,6.850282485875706
08034,6.377867969850079
08035,14.784255376707698
08036,5.47945205479452
08037,5.723232147516743
08038,6.882406563354603
08039,6.168179262709823
08040,8.177278401997503
08041,8.958068614993648
08042,7.240265566122376
08043,8.340498710232158
08044,7.3415365525798775
08045,
08046,6.417067206341176
08047,7.1564206028958
08048,6.9543874002863575
08049,7.2585343120121175
08050,7.596539354294155
08051,6.494714587737843
08052,12.136035406475658
08053,8.564313555651799
08054,6.737967914438503
08055,6.1563169164882225
08056,6.725476890597903
08057,
08058,8.988883006881949
08059,7.871336041277857
08060,10.363288718929255
08061,6.732528357116721
08062,5.4247299292764435
08063,5.061055218493203
08064,7.072533654812135
08065,7.215511760966306
08066,5.738644504943402
08067,6.562922868741543
08068,6.745778910481046
08069,4.96319937471504
08070,7.013092459149497
08071,5.814248288684188
08072,6.2000158365666325
08073,8.378322259136214
08074,8.393912959193564
08075,7.306704454875565
08076,7.86010124252186
08077,6.589656077710686
08078,5.260237487515259
08079,7.387627948375612
08080,
08081,8.834009092026047
08082,9.693877551020408
08083,4.548183728610027
08084,6.922341073136796
08085,6.488710698459591
08086,7.281777122315421
08087,5.95229516466095
08088,6.102249488752556
08089,7.31686097094136
08090,10.25440313111546
08091,6.748949579831932
08092,7.172793677403903
08093,
08094,6.722975855302449
08095,
08096,7.21511738881466
08097,6.179334170854271
08098,6.949217258495609
08099,10.511523327712197
08100,3.2601919960104726
08101,10.29126213592233
08102,8.020336169329736
08103,6.152250239387168
08104,7.2468491960017385
08105,9.439595774000917
08106,7.0406258334074145
08107,6.931665922286736
08108,6.201353637901861
