CTOT,D1
0222089,1.0
0141089,1.0
0141090,1.0
0141091,1.0
1236049,1.0
0141093,1.0
0141094,1.0
0141095,1.0
0141096,1.0
0141097,1.0
0141098,1.0
0141099,1.0
0141100,1.0
0709454,1.0
0141101,1.0
0141102,1.0
0753012,0.0
1236053,1.0
0222095,1.0
0141902,1.0
0244229,1.0
0141903,1.0
0141904,1.0
0222009,1.0
0753053,0.0
0753054,0.0
0222001,1.0
0222002,1.0
0222003,1.0
0222011,1.0
0222012,1.0
0222004,1.0
0709455,1.0
0222006,1.0
0222007,1.0
0222014,1.0
0222015,1.0
0705117,1.0
0222016,1.0
0222017,1.0
0222022,1.0
0222018,1.0
0222019,1.0
0222021,1.0
0222023,1.0
0222024,1.0
0222025,1.0
0222045,1.0
0222027,1.0
0222028,1.0
0222029,1.0
0222032,1.0
0222035,1.0
0222036,1.0
0222050,1.0
0222051,1.0
0222037,1.0
0222096,1.0
0222039,1.0
0222052,1.0
0222040,1.0
0222041,1.0
0222042,1.0
0222043,1.0
0222061,1.0
0222044,1.0
0222046,1.0
0222047,1.0
0222106,1.0
0222107,1.0
0222048,1.0
0222049,1.0
0222053,1.0
0222054,1.0
0222055,1.0
0222057,1.0
0222058,1.0
0222059,1.0
0222060,1.0
0222062,1.0
0222063,1.0
0222066,1.0
0709456,1.0
0222068,1.0
0222080,1.0
0222081,1.0
0222069,1.0
0222072,1.0
0222074,1.0
1106055,1.0
0705141,1.0
0222076,1.0
0222077,1.0
0222082,1.0
0222078,1.0
0753013,0.0
1106056,1.0
0222084,1.0
0222083,1.0
0222085,1.0
0222090,1.0
0222094,1.0
0250071,1.0
0222099,1.0
0222102,1.0
0753014,0.0
0222103,1.0
1236054,1.0
0222105,1.0
0753015,0.0
1106057,1.0
0244080,1.0
0222109,1.0
0250196,1.0
0222110,1.0
1106058,1.0
0250075,1.0
0222111,1.0
0222112,1.0
0222178,1.0
0222113,1.0
0222114,1.0
0222115,1.0
0222127,1.0
0222116,1.0
0222117,1.0
0222181,1.0
0222119,1.0
0222122,1.0
0222124,1.0
0222125,1.0
0222126,1.0
0222128,1.0
0222135,1.0
0222129,1.0
0222130,1.0
0222131,1.0
0222133,1.0
1236055,1.0
0222139,1.0
0250078,1.0
0222136,1.0
0250083,1.0
0753016,0.0
0222137,1.0
0753017,0.0
0753018,0.0
0222141,1.0
0222142,1.0
0250198,1.0
0222143,1.0
0222156,1.0
0222157,1.0
0222144,1.0
0222149,1.0
0222150,1.0
0753019,0.0
0222151,1.0
0222155,1.0
0753020,0.0
1236056,1.0
1236057,1.0
1236058,1.0
1236059,1.0
1236060,1.0
1236061,1.0
1236901,1.0
1236902,1.0
1328001,1.0
1328002,1.0
1328003,1.0
0222160,1.0
0222158,1.0
0222165,1.0
0734001,1.0
1328004,1.0
1328005,1.0
1328006,1.0
1328007,1.0
1328008,1.0
1328009,1.0
0222184,1.0
0734015,1.0
0222170,1.0
0222172,1.0
0222173,1.0
1328010,1.0
1328011,1.0
0222174,1.0
0747073,1.0
0222175,1.0
1106059,1.0
1106060,1.0
0222186,1.0
0222182,1.0
0734032,1.0
0222187,1.0
0222190,1.0
0222193,1.0
0222188,1.0
0222195,1.0
0222189,1.0
0734033,1.0
0222197,1.0
0222199,1.0
1106061,1.0
1106062,1.0
0222200,1.0
0222201,1.0
0222203,1.0
0222204,1.0
1328012,1.0
1328013,1.0
0250084,1.0
0222205,1.0
0250085,1.0
0222207,1.0
0222222,1.0
0222208,1.0
0222209,1.0
0724113,1.0
0222215,1.0
0734034,1.0
0222217,1.0
0222218,1.0
0222220,1.0
0222223,1.0
0222226,1.0
0222227,1.0
0222225,1.0
0222229,1.0
0222230,1.0
0222232,1.0
0734116,1.0
0222235,1.0
0222236,1.0
0222239,1.0
0705171,1.0
0222246,1.0
0222247,1.0
0222248,1.0
0222249,1.0
0734120,1.0
0734121,1.0
0222250,1.0
0222251,1.0
0222253,1.0
0222252,1.0
0244031,1.0
0222254,1.0
0222902,1.0
0222901,1.0
0222903,1.0
0222906,1.0
0222907,1.0
0244032,1.0
0222904,1.0
0222905,1.0
1328014,1.0
1328015,1.0
1328016,1.0
1328017,1.0
0253049,0.0
0222908,1.0
0222909,1.0
0244035,1.0
0244001,1.0
0244002,1.0
0244004,1.0
0244005,1.0
0737218,1.0
0244007,1.0
0244008,1.0
0244009,1.0
0244010,1.0
0244014,1.0
0244011,1.0
0244018,1.0
0244012,1.0
0244019,1.0
0244013,1.0
0244016,1.0
0244020,1.0
0244017,1.0
0244021,1.0
0737219,1.0
0244022,1.0
0244023,1.0
0244024,1.0
0244026,1.0
0244036,1.0
0244037,1.0
0740126,1.0
0244027,1.0
0244040,1.0
0244028,1.0
0244029,1.0
0244033,1.0
0244034,1.0
0740127,1.0
0244038,1.0
0244039,1.0
0407065,1.0
0244041,1.0
0244042,1.0
0250090,1.0
0244043,1.0
0244045,1.0
0244044,1.0
0244046,1.0
0244047,1.0
0244048,1.0
0244061,1.0
0244049,1.0
0244050,1.0
0244051,1.0
0244052,1.0
0244053,1.0
0244062,1.0
0250091,1.0
0244054,1.0
0244055,1.0
0244056,1.0
0244059,1.0
0244060,1.0
0734179,1.0
0244064,1.0
0244065,1.0
0244066,1.0
0244067,1.0
0250108,1.0
0244068,1.0
0244070,1.0
0244071,1.0
0747025,1.0
0244074,1.0
1328024,1.0
0244075,1.0
0244124,1.0
0244076,1.0
0244077,1.0
0244082,1.0
0244084,1.0
0244085,1.0
0244087,1.0
0244088,1.0
0244086,1.0
0244089,1.0
0244090,1.0
0244092,1.0
0244093,1.0
0244094,1.0
0244096,1.0
0244103,1.0
0244097,1.0
0244099,1.0
0244100,1.0
0244101,1.0
0244102,1.0
0244105,1.0
0244106,1.0
0250111,1.0
0244107,1.0
0244108,1.0
0244111,1.0
0244109,1.0
0244110,1.0
0747026,1.0
0244113,1.0
0244128,1.0
0244114,1.0
0244115,1.0
0244117,1.0
0244129,1.0
0244118,1.0
0250117,1.0
0244119,1.0
0244120,1.0
0244121,1.0
0244130,1.0
0244122,1.0
0734180,1.0
0244125,1.0
0244126,1.0
0244127,1.0
0244131,1.0
0244132,1.0
0244133,1.0
0244135,1.0
0244142,1.0
0244136,1.0
0244137,1.0
0244138,1.0
0244141,1.0
0244143,1.0
0244146,1.0
0737259,1.0
0244144,1.0
0244145,1.0
0737266,1.0
0244149,1.0
0244150,1.0
0244151,1.0
0244152,1.0
0244197,1.0
0244153,1.0
0244155,1.0
0244154,1.0
